,open_4,high_4,low_4,close_4,over_ema_4,trend_4,volume_diff_4,open_3,high_3,low_3,close_3,over_ema_3,trend_3,volume_diff_3,open_2,high_2,low_2,close_2,over_ema_2,trend_2,volume_diff_2,open_1,high_1,low_1,close_1,over_ema_1,trend_1,volume_diff_1,trend
40,4.47,5.91,0.72,0.72,0.0,-1.0,0.5331,1.1,1.69,-2.86,0.0,0.0,-1.0,0.3387,0.66,1.05,-3.16,-1.66,0.0,-1.0,0.2069,-1.0,0.47,-5.53,-4.22,0.0,-1.0,-0.0775,1.0
41,1.62,2.21,-2.34,0.52,0.0,-1.0,0.3387,1.18,1.57,-2.64,-1.14,0.0,-1.0,0.2069,-0.48,0.99,-5.01,-3.7,0.0,-1.0,-0.0775,-3.45,-3.45,-11.98,-7.2,0.0,1.0,0.2663,1.0
42,1.71,2.1,-2.11,-0.61,0.0,-1.0,0.2069,0.05,1.52,-4.48,-3.17,0.0,-1.0,-0.0775,-2.92,-2.92,-11.45,-6.67,0.0,1.0,0.2663,-6.82,-3.04,-14.07,-4.32,0.0,1.0,-0.1008,0.0
43,0.19,1.66,-4.34,-3.03,0.0,-1.0,-0.0775,-2.78,-2.78,-11.31,-6.53,0.0,1.0,0.2663,-6.68,-2.9,-13.93,-4.18,0.0,1.0,-0.1008,-4.15,-2.15,-10.06,-4.81,0.0,0.0,-0.0306,-1.0
44,-2.06,-2.06,-10.59,-5.81,0.0,1.0,0.2663,-5.96,-2.18,-13.21,-3.46,0.0,1.0,-0.1008,-3.43,-1.43,-9.34,-4.09,0.0,0.0,-0.0306,-4.93,0.54,-5.21,-0.59,0.0,-1.0,0.0498,-1.0
45,-5.31,-1.53,-12.56,-2.81,0.0,1.0,-0.1008,-2.78,-0.78,-8.69,-3.44,0.0,0.0,-0.0306,-4.28,1.19,-4.56,0.06,0.0,-1.0,0.0498,0.44,1.58,-6.19,-6.1,0.0,-1.0,-0.161,-1.0
46,-2.03,-0.03,-7.94,-2.69,0.0,0.0,-0.0306,-3.53,1.94,-3.81,0.81,0.0,-1.0,0.0498,1.19,2.33,-5.44,-5.35,0.0,-1.0,-0.161,-6.35,-1.86,-8.95,-5.33,0.0,-1.0,0.3591,-1.0
47,-2.59,2.88,-2.87,1.75,0.0,-1.0,0.0498,2.13,3.27,-4.5,-4.41,0.0,-1.0,-0.161,-5.41,-0.92,-8.01,-4.39,0.0,-1.0,0.3591,-5.28,-4.65,-8.91,-6.19,0.0,-1.0,-0.526,-1.0
48,2.81,3.95,-3.82,-3.73,0.0,-1.0,-0.161,-4.73,-0.24,-7.33,-3.71,0.0,-1.0,0.3591,-4.6,-3.97,-8.23,-5.51,0.0,-1.0,-0.526,-3.88,-3.66,-10.6,-8.13,0.0,-1.0,0.6612,-1.0
49,-3.83,0.66,-6.43,-2.81,0.0,-1.0,0.3591,-3.7,-3.07,-7.33,-4.61,0.0,-1.0,-0.526,-2.98,-2.76,-9.7,-7.23,0.0,-1.0,0.6612,-7.57,0.02,-7.95,-5.48,0.0,-1.0,0.2307,-1.0
50,-2.89,-2.26,-6.52,-3.8,0.0,-1.0,-0.526,-2.17,-1.95,-8.89,-6.42,0.0,-1.0,0.6612,-6.76,0.83,-7.14,-4.67,0.0,-1.0,0.2307,-1.26,0.92,-8.08,-7.67,0.0,-1.0,-0.2486,-1.0
51,-1.45,-1.23,-8.17,-5.7,0.0,-1.0,0.6612,-6.04,1.55,-6.42,-3.95,0.0,-1.0,0.2307,-0.54,1.64,-7.36,-6.95,0.0,-1.0,-0.2486,-5.86,-2.95,-12.39,-6.98,0.0,-1.0,0.4999,0.0
52,-5.21,2.38,-5.59,-3.12,0.0,-1.0,0.2307,0.29,2.47,-6.53,-6.12,0.0,-1.0,-0.2486,-5.03,-2.12,-11.56,-6.15,0.0,-1.0,0.4999,-6.25,-2.81,-6.81,-5.9,0.0,0.0,-0.4811,1.0
53,0.78,2.96,-6.04,-5.63,0.0,-1.0,-0.2486,-4.54,-1.63,-11.07,-5.66,0.0,-1.0,0.4999,-5.76,-2.32,-6.32,-5.41,0.0,0.0,-0.4811,-4.6,-0.6,-9.04,-7.41,0.0,1.0,0.8872,1.0
54,-4.29,-1.38,-10.82,-5.41,0.0,-1.0,0.4999,-5.51,-2.07,-6.07,-5.16,0.0,0.0,-0.4811,-4.35,-0.35,-8.79,-7.16,0.0,1.0,0.8872,-6.47,-2.63,-8.66,-4.35,0.0,1.0,-0.293,1.0
55,-5.47,-2.03,-6.03,-5.12,0.0,0.0,-0.4811,-4.31,-0.31,-8.75,-7.12,0.0,1.0,0.8872,-6.43,-2.59,-8.62,-4.31,0.0,1.0,-0.293,-4.31,-0.12,-4.79,-2.29,0.0,1.0,-0.0922,-1.0
56,-4.16,-0.16,-8.6,-6.97,0.0,1.0,0.8872,-6.28,-2.44,-8.47,-4.16,0.0,1.0,-0.293,-4.16,0.03,-4.64,-2.14,0.0,1.0,-0.0922,-1.91,1.15,-2.6,-0.28,0.0,-1.0,0.2288,-1.0
57,-5.87,-2.03,-8.06,-3.75,0.0,1.0,-0.293,-3.75,0.44,-4.23,-1.73,0.0,1.0,-0.0922,-1.5,1.56,-2.19,0.13,0.0,-1.0,0.2288,-0.25,2.95,-1.0,-0.95,0.0,-1.0,0.0083,-1.0
58,-3.24,0.95,-3.72,-1.22,0.0,1.0,-0.0922,-0.99,2.07,-1.68,0.64,0.0,-1.0,0.2288,0.26,3.46,-0.49,-0.44,0.0,-1.0,0.0083,-0.44,1.46,-3.98,-3.4,0.0,-1.0,-0.1733,-1.0
59,-0.01,3.05,-0.7,1.62,0.0,-1.0,0.2288,1.24,4.44,0.49,0.54,0.0,-1.0,0.0083,0.54,2.44,-3.0,-2.42,0.0,-1.0,-0.1733,-2.56,-0.09,-4.96,-3.86,0.0,-1.0,0.0028,-1.0
60,2.26,5.46,1.51,1.56,0.0,-1.0,0.0083,1.56,3.46,-1.98,-1.4,0.0,-1.0,-0.1733,-1.54,0.93,-3.94,-2.84,0.0,-1.0,0.0028,-2.2,-2.1,-11.44,-8.28,0.0,-1.0,0.753,-1.0
61,2.5,4.4,-1.04,-0.46,0.0,-1.0,-0.1733,-0.6,1.87,-3.0,-1.9,0.0,-1.0,0.0028,-1.26,-1.16,-10.5,-7.34,0.0,-1.0,0.753,-6.5,-4.46,-10.55,-8.69,0.0,-1.0,0.1179,-1.0
62,1.05,3.52,-1.35,-0.25,0.0,-1.0,0.0028,0.39,0.49,-8.85,-5.69,0.0,-1.0,0.753,-4.85,-2.81,-8.9,-7.04,0.0,-1.0,0.1179,-6.5,-2.9,-7.54,-7.29,0.0,-1.0,-0.4667,-1.0
63,1.93,2.03,-7.31,-4.15,0.0,-1.0,0.753,-3.31,-1.27,-7.36,-5.5,0.0,-1.0,0.1179,-4.96,-1.36,-6.0,-5.75,0.0,-1.0,-0.4667,-6.77,-6.61,-14.3,-14.1,0.0,-1.0,2.3364,-1.0
64,-2.12,-0.08,-6.17,-4.31,0.0,-1.0,0.1179,-3.77,-0.17,-4.81,-4.56,0.0,-1.0,-0.4667,-5.58,-5.42,-13.11,-12.91,0.0,-1.0,2.3364,-12.16,-9.46,-19.88,-13.44,0.0,-1.0,-0.2593,0.0
65,-2.38,1.22,-3.42,-3.17,0.0,-1.0,-0.4667,-4.19,-4.03,-11.72,-11.52,0.0,-1.0,2.3364,-10.77,-8.07,-18.49,-12.05,0.0,-1.0,-0.2593,-10.83,-7.88,-14.39,-9.84,0.0,0.0,-0.3575,1.0
66,-3.46,-3.3,-10.99,-10.79,0.0,-1.0,2.3364,-10.04,-7.34,-17.76,-11.32,0.0,-1.0,-0.2593,-10.1,-7.15,-13.66,-9.11,0.0,0.0,-0.3575,-9.5,-8.42,-16.5,-12.5,0.0,1.0,0.3584,1.0
67,-9.91,-7.21,-17.63,-11.19,0.0,-1.0,-0.2593,-9.97,-7.02,-13.53,-8.98,0.0,0.0,-0.3575,-9.37,-8.29,-16.37,-12.37,0.0,1.0,0.3584,-11.67,-6.68,-12.89,-6.82,0.0,1.0,-0.3462,1.0
68,-9.98,-7.03,-13.54,-8.99,0.0,0.0,-0.3575,-9.38,-8.3,-16.38,-12.38,0.0,1.0,0.3584,-11.68,-6.69,-12.9,-6.83,0.0,1.0,-0.3462,-7.39,0.32,-8.77,-1.18,0.0,1.0,0.4774,1.0
69,-9.54,-8.46,-16.54,-12.54,0.0,1.0,0.3584,-11.84,-6.85,-13.06,-6.99,0.0,1.0,-0.3462,-7.55,0.16,-8.93,-1.34,0.0,1.0,0.4774,-2.19,0.0,-4.89,-0.06,1.0,1.0,-0.3729,1.0
70,-11.78,-6.79,-13.0,-6.93,0.0,1.0,-0.3462,-7.49,0.22,-8.87,-1.28,0.0,1.0,0.4774,-2.13,0.06,-4.83,0.0,1.0,1.0,-0.3729,0.67,1.91,-2.34,1.56,1.0,1.0,0.1704,1.0
71,-7.86,-0.15,-9.24,-1.65,0.0,1.0,0.4774,-2.5,-0.31,-5.2,-0.37,1.0,1.0,-0.3729,0.3,1.54,-2.71,1.19,1.0,1.0,0.1704,0.71,1.35,-1.75,-1.0,0.0,1.0,-0.2781,-1.0
72,-2.69,-0.5,-5.39,-0.56,1.0,1.0,-0.3729,0.11,1.35,-2.9,1.0,1.0,1.0,0.1704,0.52,1.16,-1.94,-1.19,0.0,1.0,-0.2781,-1.44,3.74,-1.88,3.4,1.0,-1.0,0.3362,-1.0
73,0.07,1.31,-2.94,0.96,1.0,1.0,0.1704,0.48,1.12,-1.98,-1.23,0.0,1.0,-0.2781,-1.48,3.7,-1.92,3.36,1.0,-1.0,0.3362,3.46,5.71,1.52,1.72,1.0,-1.0,-0.07,-1.0
74,0.42,1.06,-2.04,-1.29,0.0,1.0,-0.2781,-1.54,3.64,-1.98,3.3,1.0,-1.0,0.3362,3.4,5.65,1.46,1.66,1.0,-1.0,-0.07,1.78,1.91,-1.44,0.29,1.0,-1.0,-0.2054,-1.0
75,-1.1,4.08,-1.54,3.74,1.0,-1.0,0.3362,3.84,6.09,1.9,2.1,1.0,-1.0,-0.07,2.22,2.35,-1.0,0.73,1.0,-1.0,-0.2054,0.8,3.23,0.08,1.0,1.0,-1.0,0.1208,-1.0
76,4.14,6.39,2.2,2.4,1.0,-1.0,-0.07,2.52,2.65,-0.7,1.03,1.0,-1.0,-0.2054,1.1,3.53,0.38,1.3,1.0,-1.0,0.1208,1.01,1.29,-5.3,-3.85,0.0,-1.0,0.2622,-1.0
77,2.82,2.95,-0.4,1.33,1.0,-1.0,-0.2054,1.4,3.83,0.68,1.6,1.0,-1.0,0.1208,1.31,1.59,-5.0,-3.55,0.0,-1.0,0.2622,-3.75,-1.09,-4.51,-2.55,0.0,-1.0,-0.02,-1.0
78,2.0,4.43,1.28,2.2,1.0,-1.0,0.1208,1.91,2.19,-4.4,-2.95,0.0,-1.0,0.2622,-3.15,-0.49,-3.91,-1.95,0.0,-1.0,-0.02,-1.52,-0.79,-4.23,-2.2,0.0,-1.0,-0.1098,1.0
79,2.16,2.44,-4.15,-2.7,0.0,-1.0,0.2622,-2.9,-0.24,-3.66,-1.7,0.0,-1.0,-0.02,-1.27,-0.54,-3.98,-1.95,0.0,-1.0,-0.1098,-1.75,-0.23,-5.5,-5.5,0.0,1.0,-0.3776,-1.0
80,-2.6,0.06,-3.36,-1.4,0.0,-1.0,-0.02,-0.97,-0.24,-3.68,-1.65,0.0,-1.0,-0.1098,-1.45,0.07,-5.2,-5.2,0.0,1.0,-0.3776,-4.76,-1.93,-7.16,-2.01,0.0,-1.0,0.8868,-1.0
