var_name,split_list,sub_total_sample_num,positive_sample_num,negative_sample_num,sub_total_num_percentage,positive_rate_in_sub_total,woe_list,iv_list,iv
Age,"(24.0,25.0]",68,52,16,0.021491782553729456,0.7647058823529411,-1.8429349829440735,0.16882854619602733,1.603014894167539
Age,"(25.0,26.0]",106,98,8,0.03350189633375474,0.9245283018867925,-0.5160711949038217,0.011322507691893604,1.603014894167539
Age,"(26.0,27.0]",118,110,8,0.03729456384323641,0.9322033898305084,-0.4005584190991243,0.00719497299161871,1.603014894167539
Age,"(27.0,28.0]",121,109,12,0.03824273072060683,0.9008264462809917,-0.8151518358070208,0.03709323616738338,1.603014894167539
Age,"(28.0,29.0]",123,117,6,0.0388748419721871,0.9512195121951219,-0.05118699863791351,0.00010425401283575611,1.603014894167539
Age,"(29.0,30.0]",147,129,18,0.046460176991150445,0.8775510204081632,-1.0521497862614428,0.0838478370026242,1.603014894167539
Age,"(30.0,31.0]",120,100,20,0.03792667509481669,0.8333333333333334,-1.4121517399342245,0.1453239143676702,1.603014894167539
Age,"(31.0,32.0]",96,84,12,0.03034134007585335,0.875,-1.075682646148141,0.057862123539014744,1.603014894167539
Age,"(32.0,33.0]",93,81,12,0.029393173198482933,0.8709677419354839,-1.1120502462273583,0.060924159898910236,1.603014894167539
Age,"(33.0,34.0]",89,79,10,0.028128950695322376,0.8876404494382022,-0.9547316270353656,0.039948745793952724,1.603014894167539
Age,"(34.0,35.0]",76,66,10,0.02402022756005057,0.868421052631579,-1.134524488147578,0.05236037247419436,1.603014894167539
Age,"(35.0,36.0]",59,49,10,0.018647281921618204,0.8305084745762712,-1.4323584063995,0.07417691270248626,1.603014894167539
Age,"(36.0,37.0]",66,60,6,0.020859671302149177,0.9090909090909091,-0.7190155592487805,0.015048757220225261,1.603014894167539
Age,"(37.0,38.0]",60,58,2,0.018963337547408345,0.9666666666666667,0.3456619029925522,0.0019420342713090243,1.603014894167539
Age,"(38.0,39.0]",62,60,2,0.019595448798988623,0.967741935483871,0.3795633971970668,0.002384119670835859,1.603014894167539
Age,"(39.0,40.0]",57,53,4,0.01801517067003793,0.9298245614035088,-0.43761121284492577,0.004220502755938193,1.603014894167539
Age,"(40.0,41.0]",60,52,8,0.018963337547408345,0.8666666666666667,-1.149794052325535,0.042757105431682464,1.603014894167539
